id,user_id,movie_id,title,rating,content,date
rw9528393,ur160611185,tt0110357," My favorite cartoon!
",10,"Legendary and one of the best cartoons in history!!(and for me - the best. My mother even told me that I watched it every day as a child!)The tragic story is really instructive, beautiful landscapes and a very warm atmosphere that is memorable. The prescribed characters and the original idea - all this makes watching interesting for any age.Legendary music, beautiful animation and other things that will make you fall in love with this cartoon.It is very strange if someone has not seen this masterpiece yet. This is the classic that, although no one insists on, but it is desirable to know!",29 December 2023
rw9532575,ur175109481,tt0468569," Best!
",10,"The best ""superhero"" movie ever made, with easily the best supportive role ever! To see Heath Ledgers work with joker in this movie just makes my jaw drop.And just the movie alone is fascinating, its dark but kinda bright at the same time.It has some humor to.I would also say this movie can be seen by everybody even if your not that in to superhero-movies.It also has alot of interesting psychological points in this movie as many of Nolans movies has.In my opinion this is Nolans best work and for me this is probably in the top 10 movies of all time.If you havent watched this movie just do it, you will not regret it!",31 December 2023
rw9531063,ur135061428,tt0108052," Schindler, a Righteous Among the Nations
",10,"A true movie needs to bring the truth without making it too unreal to the audiece... indeed, many till in our days doubt of the existence of the Holocaust, and Spielberg displays a scenario where many points in the puzzle of the Nazi Germany becomes to be sewed by the story and how love can surpass everything. The man behind the industry (our known elevator), Schindler, challenges his time, and with some diplomats come in history as a man who saved hundreds of jews from the hands of the Gestapo and the SS, and not only that, the catholic Oskar Schindler defies the Vatican's silence (even though I'm not sure the reason for it, maybe because of the Lateran Treaty) and plays a true christian role during that period, I recommed a lot...",30 December 2023
rw9539653,ur153288791,tt0038650," Great movie
",10,Great movie great cast great story this movie is what movie audiences needed after world war 2 it was great this movie makes you smile like the Movie Elf and Love Actually James Stewart is great in this movie Donna Reed is good too the kids at the end the angel gets it's wings line priceless I give this movie an A great movie great Christmas movie you can watch this movie any time it doesn't have to be Christmas. I recommend this movie and 1965's The Sound Of The Music with Julie Andrews and Mary Poppins.this movie is a feel movie I give this movie this movie should have won they don't make movies.,3 January 2024
rw9532001,ur79504172,tt0109830," Movie of a lifetime
",9,"How do you review this film? This film is part drama, comedy, romance , war , fantasy
and inspiration. To meld all these qualities together is no mean feat. It works a great here. The central performance is unforgettable and he deserved his Oscar. A great soundtrack throughout. The support cast is also excellent inc Gary sinise sally field and Robin wright. It would be easy to nit pick certain things but in the realm of what this film is trying to do it doesn't matter. The most significant thing this film offers is that you feel. And you can't not. It's those indelible moments throughout that make this a masterpiece. You feel sad but at the same time you feel hope. A wonderful ending with the feather echoing both the ideas of destiny and also not knowing what's coming. A great film.",31 December 2023
rw9515181,ur125526758,tt0110357," A Timeless Animated Masterpiece with Emotional Depth
",9,"Disney's ""The Lion King"" (1994) is an animated classic that stands the test of time as one of the most beloved and enduring films in the studio's illustrious history. Directed by Roger Allers and Rob Minkoff, this epic tale of love, loss, and leadership in the African savannah captures both the imagination and the heart with its compelling story, memorable characters, and stunning visuals.At the center of this cinematic gem is the story of Simba, a young lion prince voiced by Jonathan Taylor Thomas and Matthew Broderick. The character's journey from an adventurous cub to a mature and responsible king is both touching and inspiring. Simba's growth is handled with care and depth, resonating with audiences of all ages.James Earl Jones lends his iconic voice to Mufasa, Simba's wise and powerful father, delivering lines with a majesty and warmth that have become synonymous with the character. Jeremy Irons' portrayal of the cunning and malicious Scar is equally impressive, creating a villain who is both feared and fascinating.The supporting cast, including the likes of Nathan Lane as Timon and Ernie Sabella as Pumbaa, provides much of the film's humor and heart. Their performances, along with those of Whoopi Goldberg, Cheech Marin, and Jim Cummings as the hyenas, add layers of comedy and personality to the film.""The Lion King"" is a visual marvel, with animation that was groundbreaking at the time and remains impressive to this day. The vibrant colors, fluid motion, and expressive character animations bring the African savannah and its inhabitants to life in a way that is both realistic and stylized.The music by Hans Zimmer, along with songs by Elton John and Tim Rice, is nothing short of iconic. Tracks like ""Circle of Life,"" ""I Just Can't Wait to be King,"" ""Be Prepared,"" ""Hakuna Matata,"" and ""Can You Feel the Love Tonight"" are not only integral to the film's storytelling but have also become part of the cultural lexicon.""The Lion King"" tackles themes of responsibility, redemption, and the circle of life with a maturity that belies its status as a children's film. The narrative is epic in scope yet intimate in its emotional impact, dealing with complex issues like death and betrayal in a way that is accessible and meaningful.If there is any criticism to be levied at ""The Lion King,"" it might be that some of the more mature themes and moments of peril could be intense for very young viewers. However, these elements are handled with care and contribute to the film's depth and emotional resonance.In conclusion, ""The Lion King"" is a triumph of animation, storytelling, and musical composition, a film that transcends the label of 'children's movie' to become a piece of art that appeals to all ages. Its powerful narrative, combined with stunning visuals and unforgettable music, earns it a well-deserved 9 out of 10. It's not just a film but a cultural phenomenon that continues to resonate with audiences around the world.",24 December 2023
rw9494892,ur174066047,tt0110357," Probably The Best Animated Feature. Probably. Beautiful and Amazing!
",10,"I'm not sure, but I guess it's my favorite animated film. ""The Lion King"" (1994) is directed perfectly and the script has a perfect flow of events. The characters are fascinating, even the villains who we want to lose the battle at the end. The songs are a delight to the ears, wonderful. The animation is at a very good level (2D). There's adventure, love, action, drama and although cliched, it doesn't feel cheezy but rather wonderful to watch. Few films and stories in general have all these positive qualities in one.Bravo! Bravo! Bravo!""Can You Feel the Love Tonight"" is one of my all time favorite songs and I love listening to it sometimes. Not often so I don't get bored :) Lovely!I'll go back to the characters again, but they are adorable. The main character Simba is a perfect protagonist, his father is a super mentor, his mother is wonderful, his main enemy is a genius villain, and the supporting characters add even more love, color, and fun to this whole story that, while not completely happy, ultimately proves that love can conquer everything.Final score: 10/10.",14 December 2023
rw9494094,ur172121819,tt0110357," King
",8,"The production, which is one of Walt Disney's most famous animations, is headed by a duo who are directing for the first time, and there are also many names on the screenwriter staff. Simba spends happy days with his father Mufasa and learns many things, but one day, Simba loses his father due to his uncle's traps and runs away from the herd, blaming himself. Simba, who meets Timon and Pumbaa and starts living with them, will learn the truth years later and confront his uncle to take back the kingdom that is his right. The animation was both emotional and entertaining, but also boring at times. The scenes between Mufasa and Simba at the beginning of the movie were the best scenes, and the dialogues of the movie were also good, especially what we heard from Mufasa's mouth. Many different colors were used in the animation, these colors added beauty to some scenes, but I did not like the colors used in the musical scenes, they added a muffled atmosphere. The lessons it wanted to give were important, but I did not find it suitable for children, both in terms of its subtext messages and subliminal messages, and unlike the majority, I did not like it very much, it was just above average for me.",14 December 2023
rw9534664,ur172300867,tt7466810," Charlie 777
",10,This is best and ever good film see in my life thank u Charlie.Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towa... Read allDharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towa... Read allDharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towa... Read all.,1 January 2024
rw9532000,ur175061579,tt0468569," The Dark Knight: A Cinematic Triumph of Complexity and Depth
",10,"Entering the world of ""The Dark Knight"" was a departure from my usual movie preferences, yet it turned out to be an awe-inspiring journey into a realm of darkness and complexity that left me utterly mesmerized.Christopher Nolan and Jonathan Nolan's collaboration is a testament to sheer brilliance. The depth of storytelling and the ambition woven into every frame deserve an unequivocal standing ovation. Despite its loudness and moments of intense violence, this movie stands leagues apart from mindless action flicks. It possesses a soul that delves deep into the human psyche.Heath Ledger's portrayal of the Joker is nothing short of extraordinary. His interpretation breathes life into a character that's not just a villain but a deeply human enigma. Ledger's performance transcends the screen, hauntingly captivating and leaving an indelible mark on the essence of the film.Christian Bale's portrayal of Batman, laced with natural petulance, makes his dual persona the most intriguing and multi-layered among all superhero portrayals. Nolan's genius lies not just in crafting a hero but in giving equal weight to the antagonist, allowing Ledger's Joker to determine and shape the riveting atmosphere that envelops Gotham and the audience.What amazed me most was how Nolan crafted a narrative where Batman isn't necessarily the focal point in terms of screen time. Instead, Ledger's mesmerizing performance captivates and leads the narrative, showcasing Nolan's directorial prowess in balancing and elevating characters within the storyline.Nolan's directorial aplomb is nothing short of mind-blowing. His respect for the audience shines through every meticulously crafted scene, challenging viewers to explore the depths of morality, chaos, and heroism. He transcends the boundaries of a popular genre, infusing ""The Dark Knight"" with Shakespearean proportions of tragedy, complexity, and depth.The film's breathtaking atmosphere, coupled with Nolan's ability to seamlessly merge action and psychological depth, creates an immersive experience that lingers long after the credits roll. It's not merely a superhero movie; it's a masterclass in storytelling, exploring the shadows of the human condition.In conclusion, ""The Dark Knight"" stands as a monumental achievement in filmmaking. It's a symphony of darkness, complexity, and raw humanity orchestrated by Nolan's visionary direction and the outstanding performances of its cast. This movie isn't just a cinematic spectacle; it's a testament to the potential of the superhero genre to transcend boundaries and delve into the depths of the human psyche. Bravo to Christopher Nolan and his team for crafting a masterpiece that will echo through cinematic history.",31 December 2023
rw9531555,ur38423794,tt0468569," I love it!
",9,"In the world of comic books, there is a superhero sequel that stands out from the rest. Batman is facing a dangerous enemy who is causing destruction throughout Gotham City. The villain's performance is captivating and is considered one of the greatest in cinematic history. There are many memorable moments in the movie, such as Batman's use of unconventional weapons and his encounter with a school bus. The presence of Bat groupies and Gordon's exceptional portrayal also add to the intrigue.Batman's acting style is urgent and is complemented by the legendary Sir Michael Caine. The absence of Katie Holmes is notable, and Harvey Dent's distinctive hair and courtroom drama are memorable. There is a choice between Maggie and Katie, and the presence of Red Redding, Julia Roberts's older brother, adds a unique element. The Joker's unsettling nature and the iconic question ""Why So Serious?"" repeated thrice emphasize his menacing persona.Batman has a Bat cellphone, and there is a revelation that bats can fly. There is also a Bat airplane jet, and Bruce Wayne is skilled at riding a motorcycle. The Joker has a distinctive calling card, and there are no joke home videos. Batman participates in a Bat fundraiser, and the concept of DNA hijacking is introduced. There is a hypothetical battle between Christian Bale, Adam West, and LEGO Batman, and the film features Bat extortion and a Breakfast Club geek.The Joker's explosive finger guns and use of a shotgun are memorable. There is a pivotal vote, and the Battle of the Boats, and Morgan Freeman provides wisdom in the movie. The importance of an Ace is stressed, and there is a symbolic Joker fly. Christian Bale's portrayal is commendable, and Christopher Nolan's direction is masterful. The film is forever linked to Heath Ledger, who gave an unforgettable performance as the Joker.",31 December 2023
rw9518667,ur174638476,tt0108052," Truly special.
",9,"The film opens with beautiful black and white cinematography and music in bar as the story gets underway in 1939. I knew right away I was in for a treat. The pictures looks so rich with lovely textures and such an assured style of direction. The picture is 16:9 with, with great clarity and sharpness. You find out very quickly it's going to be an English language film but you quickly forget about whether characters would be speaking German, English or Polish. This manages to be a very intimate personal film and yet also a film of great scale with huge sets and hundreds of extras. The acting is superb, very strong and it chillingly shows the casual cold ruthlessness of Nazi soldiers and spies. It also sets up this interesting and powerful tug of war and battle of wills between the two key characters. One is almost a kind of beast, a man who kills for pleasure, the other we are uncertain at first about, a war profiter and a rationalist or a humanitarian who is working subtly to undermine Nazi efforts. Ben Kingsley also deserves a lot of praise for his performance too. Some of the cinematography I really can't stress enough how good it is, a character who catches a glimpse of himself in the mirror and the powerful effect of that, it's just superb filmmaking. This is a film with plenty of reality, there's no dashing Indiana Jones character who's going to come racing in on his horse, blast away all the bad guys, kiss the girl and save the day. Nope here this really is a film about horror and hope in the face of despair. The film towards the end also offers a great sense of reflection and perspective and wonderfully questions the actual value of money over the alternative of saving someone's life. The ending is superbly moving, I can't rate this highly enough.",26 December 2023
rw9508564,ur46598033,tt0108052," Krakow trip
",8,"I've seen Schindlers List before, and I've always had an interest in WW2.Me and my now fiancé have just got back from a trip to Krakow which obviously involved a trip to Auschwitz and Oskar Schindlers factory so we rewatched this film before going.As a 30 year old writing this and having seen Liam Neesons latest films (Taken etc) which I like, it's mad to see him in a film (where he looks no older!) which was brought out the year I was born. He's 70 now Neeson and doesn't seem to be slowing down. I do think however his career and the opinion of him as an actor in the public eye has diminished slightly since Schindlers list there's no doubt he does an amazing job in this. As does, Ralph Fiennes who is only 30 at the time! He completely transforms into this psychotic German madman with a thirst for power and filled with hatred.Ben Kingsley does a great job as Isaac stern also.It shows the horrors of the German SS and especially the scenes where the woman is telling them the foundations are wrong where executed, even though her opinion was correct always sticks in my mind.It is great to see Schindler turn from being all about the money in the beginning to actually caring about the Jews and us seeing him become more compassionate as a person as the film goes on.Having been to his factory as well know it brings it all to life, and I have the upmost respect for him and what he did.",21 December 2023
rw9519164,ur17048662,tt0038650," ""It's A Perfect Film!""
",10,"Forget just Christmas, this might be the greatest film ever made. Yet, the older I get, the more I see the even deeper meanings of fate and intervention. Here they are:-When George and Mary are throwing rocks at the house, George hits glass and makes his wish. Mary then hits glass herself and makes a wish for George to stay and to marry him. I believe it is her wish that sets the whole motion of the movie. As soon as she makes her wish, George's father has a stroke and George decides not to leave.-George saves his brother and in return loses hearing in his ear. Because Harry and all of George's friends join the military, it is assumed George would have done the same. Yet, he gets rejected because of his ear. I believe that because George is smart, cocky and more daring than his friends, it would be George's fate to die in war. Therefore his ear, saved his life.-When George is talking to his father at the dinner table, he tells his father that he couldn't live working in a boring office all day. His father humbly laughs it off and tells George that he believes they are making a difference. Because we can assume sons acts like their fathers, I believe his father thought just like George and also had a ""glimpse"" type experience that showed him the way of happiness. Then when George called him a ""Great guy"", the father, feeling finally content, died that night.-Clarence is reading Tom Sawyer. In that novel, the towns people think Tom has died. Tom sees his own funeral, and at first finds joy in it. However, then realizes how sad it makes him to see others be sad of his death. So, he reveals he's alive. This is the same concept George sees. He thinks he's better off dead, yet sees what would happen to people without him and changes his mind.-When George is praying to God for help, he gets it. However, the entire time he's in his ""glimpse"", he doesn't believe in the idea that Clarence was sent by God. He begs Clarence to get him back, but it doesn't happen. It's not until George says the words ""Please God"", that the snow starts falling and he's back to reality.This movie isn't about George creating a wonderful life, it's that George was given a wonderful life. All he had to do was acknowledge it.",26 December 2023
rw9503258,ur174378269,tt0108052," Better than 12 Angry Men even...
",9,"I guess this movie is better than 12 Angry Men even... i had declared 12 Angry Men to be the best movie on IMDB list earlier. But i hadn't rewatched Schindler's list till then. I saw it right after 12 Angry Men on the same day. And Oh My God...It just took my head into its strong grip. We need to be human first in order to see this movie. This movie is beyond the boundaries of race,class or religion. This is just about humanity,its suffering and its endurance against violence,torture and brutality. Violence should be condemned no matter against whom it is being done. Bcz humanity is above all tags...",19 December 2023
rw9526214,ur174955519,tt5074352," Mind blowing
",10,What a movie. Thrilled by the Amir's acting. Really amazing. Worth watching with family and friends. Gives new hope and motivation. Amir really rocked it. An critically acclaimed movie. Based on true story of an wrestler. This move challenges gender stereotypes. This movie collect over 2000cr. This movie really left an social impact for women and men equally. Overall Dangal left unbeatable social impact and cinematic excellence. I doubt there will ever be another movie as good as Dangel. If you haven't watched it already then I recommend watching this movie because it's really good movie. Recommend.,28 December 2023
rw9506487,ur152918286,tt5074352," Great film, but stop living your dreams through your children WTF!?
",9,"Dangal, more than simply a Bollywood film is a masterpiece of cinema. Various interesting choices are made in the film, particularly the story being narrated by Mahavir's nephew Omkar (played by Ritvik Sahore and Aparshakti Khurana) which gives the viewer the impression that Mahavir (Aamir Khan) is the main character of the film - SPOILER ALERT: he's not -. Another interesting choice was the framing of the story itself. Mahavir didn't want his daughters to succeed as wrestlers because that was their passion, and as a father he wanted to push them to reach their full potential, not at all. What he really wanted was to live his dream through their children - this is not a hot take by any means. The character literally says it himself - which honestly makes him a jerk.Performance-wise Ritvik Sahore and Aparshakti Khurana were great as comedic relief characters. Fatima Sana Shaikh and Zaira Wasim - who played adult and child Geeta Phogat respectively - were also remarkable. But the most outstanding performance, hands down, was Aamir Khan's. It feels like he gives no less than 100% in every single scene. The score and original soundtrack are also beautifully done and capture the spirit of the film to perfection.In other words, Dangal is an immersive and enjoyable experience from beginning to end worth watching and rewatching.",21 December 2023
rw9475284,ur173700210,tt5074352," amazing experience watching the dangal
",10,"Amazing experience watching dangal This movie cast and story so beautiful last night we seen this movie amazing experience. All actors perform very well . Thanks to cast make this movie for people. I have no words for this magnum quintessence project. What a movie ? Really heart touching . Watch so many times each time I will shocking experience . This movie will always remain legendry in the history of cinema. If you are thinking of whatching it, do it surely. A beautifully made masterpiece ! Truly life changing and iconic . Dangal is a movie you will never forget , it will always stay with you the past scene are filmed ever so beautiful.",5 December 2023
rw9517946,ur114461575,tt0038650," It's a Wonderful Life
",10,"This film came out 76 years ago and it is still one of my favorite holiday movies of all time. The story is centered around good people in a small town. The main character, George Bailey is a good man that is very selfless and never worries about himself. He does such selfless acts all his life for the people of the community that he serves. He ends up having a huge mistake with his uncle taking a deposit to the bank on Christmas Eve, but his uncle loses the deposit and on that very day a bank auditor arrives. He now had to come up with the money lost but he does not have it. This is when his angle comes down and shows him that he is truly a good man that has a Wonderful Life. This is a great holiday movie that has so much meaning and spirit.",25 December 2023
rw9517043,ur101813762,tt0038650," The best Christmas film?
",10,"This might not be my most watched Christmas film ever but I can say that it is most likely the best I have seen.The dialogue in this film is amazing and the storytelling is as good as it gets. We are watching a man whose life is slowly falling apart, but don't even notice because his life story in itself is so well written and directed. We also feel so connected to the main character so seamlessly up to the end of the film, as despite his flaws, he is an honest, good manIt's a film so grounded in reality but still manages to stick the landing with the spiritual scenes which is what makes it stand out as a film and plays very well with the Christmas theme.It teaches the audience to appreciate what we have and to keep our heads up through life's adversities. It also teaches lessons of greed and how money, despite causing many issues in life, (which is an undeniable fact), isn't something you can let take over your life.It is a great film and one that focuses on substance over style, something where a lot of films do the opposite. There are a few editing/audio scuffs here and there and the cinematography isn't the most ambitious which could be score-lowering factors, but I just think there is way too much substance and care put into this film for it to be any lower. It is also worth noting the time period this film released in, which could of course play a factor.Overall, I think this is one of the most uplifting films ever and I'm sure at the time of its release it was huge for mental health and so on.",25 December 2023
rw9516220,ur171408240,tt0038650," Frank Capra's ""It's a Wonderful Life"" is an inspiring Christmas tale that exudes the magic of the holiday season.
",9,"Frank Capra's ""It's a Wonderful Life"" is an inspiring Christmas tale that exudes the magic of the holiday season. With a captivating script filled with intricate plots and beautiful developments, the film showcases stellar performances by James Stewart and Lionel Barrymore. Both Stewart and Barrymore skillfully embody the iconic hero and villain roles with perfection. In addition to delivering an exceptional setting, the movie provides an immersive experience with a narrative capable of touching any heart.On the flip side, the film addresses powerful themes such as depression, despair, and insignificance. It demonstrates its enduring relevance, resonating for many years beyond its initial release, solidifying its status as a Christmas classic that is sure to evoke a tear from your eyes. And always remember, ""No man is a failure who has friends!""",24 December 2023
